time,state_mean_1,state_mean_2,state_variance_1,state_variance_2
153.0,-1657.3177316454755,-16.495593723549,4.72180770843431,4.72180770843431
154.0,-1675.0481387336222,-16.988537423972506,4.72180770843431,4.72180770843431
155.0,-1685.7752199220613,-14.488932629211192,4.72180770843431,4.72180770843431
156.0,-1700.1053614837901,-14.425542437103527,4.72180770843431,4.72180770843431
157.0,-1715.3515944007934,-14.753166200874407,4.72180770843431,4.72180770843431
158.0,-1734.9489609309953,-16.686995315778383,4.72180770843431,4.72180770843431
159.0,-1749.2415435702246,-15.731133742718969,4.72180770843431,4.72180770843431
160.0,-1763.9823065380679,-15.335772752503544,4.72180770843431,4.72180770843431
161.0,-1776.8185371025504,-14.337942950159924,4.72180770843431,4.72180770843431
162.0,-1792.2449242138193,-14.77245532900537,4.72180770843431,4.72180770843431
163.0,-1805.5133996148652,-14.172058983851912,4.72180770843431,4.72180770843431
164.0,-1825.191983539188,-16.3702914118873,4.72180770843431,4.72180770843431
165.0,-1843.9811309890474,-17.335910897661314,4.72180770843431,4.72180770843431
166.0,-1861.5292115230282,-17.420610082690708,4.72180770843431,4.72180770843431
167.0,-1876.966972347914,-16.629046694613173,4.72180770843431,4.72180770843431
168.0,-1891.961324184603,-15.976468292539446,4.72180770843431,4.72180770843431
169.0,-1909.215592369265,-16.486572430770007,4.72180770843431,4.72180770843431
170.0,-1923.7120697477465,-15.692116485122503,4.72180770843431,4.72180770843431
171.0,-1940.34682124354,-16.068421118382066,4.72180770843431,4.72180770843431
172.0,-1955.400416804881,-15.663297656234203,4.72180770843431,4.72180770843431
173.0,-1972.608813722598,-16.280109045966082,4.72180770843431,4.72180770843431
174.0,-1986.8469562491396,-15.464945749969543,4.72180770843431,4.72180770843431
175.0,-2001.2268638238124,-15.03179305777642,4.72180770843431,4.72180770843431
176.0,-2018.4397825869269,-15.90250940010278,4.72180770843431,4.72180770843431
177.0,-2034.1135566896437,-15.811197119928616,4.72180770843431,4.72180770843431
178.0,-2049.072230624854,-15.470865580426038,4.72180770843431,4.72180770843431
179.0,-2062.7761663134743,-14.765498288309471,4.72180770843431,4.72180770843431
180.0,-2081.503988005637,-16.34727770289042,4.72180770843431,4.72180770843431
181.0,-2103.974422591847,-18.79167270125571,4.72180770843431,4.72180770843431
182.0,-2126.5608199248,-20.306545843762088,4.72180770843431,4.72180770843431
183.0,-2148.5672724229403,-20.98515712268731,4.72180770843431,4.72180770843431
184.0,-2171.2043754322262,-21.644622222099002,4.72180770843431,4.72180770843431
185.0,-2195.3945919338407,-22.66083625079172,4.72180770843431,4.72180770843431
186.0,-2220.6175998037834,-23.68366803677245,4.72180770843431,4.72180770843431
187.0,-2243.4503798206915,-23.3439892632968,4.72180770843431,4.72180770843431
188.0,-2265.421989719686,-22.796128524484182,4.72180770843431,4.72180770843431
189.0,-2286.249909988042,-22.0104098978511,4.72180770843431,4.72180770843431
190.0,-2309.8566149359717,-22.64765890366345,4.72180770843431,4.72180770843431
191.0,-2329.0958611071974,-21.287003412664763,4.72180770843431,4.72180770843431
192.0,-2349.4073846964575,-20.89758696510763,4.72180770843431,4.72180770843431
193.0,-2365.7452189682986,-19.07731077594667,4.72180770843431,4.72180770843431
194.0,-2380.309001885979,-17.27548777321031,4.72180770843431,4.72180770843431
195.0,-2393.4385906828493,-15.62042406757486,4.72180770843431,4.72180770843431
196.0,-2408.3708821683417,-15.345718082752429,4.72180770843431,4.72180770843431
197.0,-2423.7058356694233,-15.341420807654501,4.72180770843431,4.72180770843431
198.0,-2435.3464725091308,-13.86404925019465,4.72180770843431,4.72180770843431
199.0,-2447.952622828375,-13.361889675671803,4.72180770843431,4.72180770843431
200.0,-2462.83765309638,-13.969935054331087,4.72180770843431,4.72180770843431
201.0,-2477.9974140395357,-14.444919528351603,4.72180770843431,4.72180770843431
202.0,-2494.335492333422,-15.200678021195476,4.72180770843431,4.72180770843431
203.0,-2507.9504667535048,-14.567657175035446,4.72180770843431,4.72180770843431
204.0,-2525.173995785224,-15.627894566708752,4.72180770843431,4.72180770843431
205.0,-2539.102926921205,-14.949659827404588,4.72180770843431,4.72180770843431
206.0,-2558.319524463563,-16.653042805747333,4.72180770843431,4.72180770843431
207.0,-2574.345854588819,-16.402855954291972,4.72180770843431,4.72180770843431
208.0,-2585.6882255665373,-14.382684921317619,4.72180770843431,4.72180770843431
209.0,-2601.2379644215657,-14.848578716421343,4.72180770843431,4.72180770843431
210.0,-2613.3097097629384,-13.740052878751966,4.72180770843431,4.72180770843431
211.0,-2627.1812092711652,-13.792527033793638,4.72180770843431,4.72180770843431
212.0,-2643.0778069206635,-14.632482597115315,4.72180770843431,4.72180770843431
213.0,-2659.62672536706,-15.397533418764407,4.72180770843431,4.72180770843431
214.0,-2675.6675255652935,-15.654328749720673,4.72180770843431,4.72180770843431
215.0,-2689.7530900232564,-15.028070160979796,4.72180770843431,4.72180770843431
216.0,-2706.953115540088,-15.8951256537078,4.72180770843431,4.72180770843431
217.0,-2722.057212792747,-15.5793431408742,4.72180770843431,4.72180770843431
218.0,-2734.31236252304,-14.252308426385662,4.72180770843431,4.72180770843431
219.0,-2750.855595822722,-15.166857148331907,4.72180770843431,4.72180770843431
220.0,-2767.2401948581037,-15.652985829129399,4.72180770843431,4.72180770843431
221.0,-2784.5771299841467,-16.325226850764864,4.72180770843431,4.72180770843431
222.0,-2801.9553063187827,-16.745569576086396,4.72180770843431,4.72180770843431
223.0,-2818.811860575453,-16.789875218304044,4.72180770843431,4.72180770843431
224.0,-2834.548885512897,-16.36957209532298,4.72180770843431,4.72180770843431
225.0,-2854.766209767827,-17.905614093449095,4.72180770843431,4.72180770843431
226.0,-2871.107274795733,-17.281038244195653,4.72180770843431,4.72180770843431
227.0,-2885.473327515964,-16.11736137442644,4.72180770843431,4.72180770843431
228.0,-2904.2153541109524,-17.16514092013809,4.72180770843431,4.72180770843431
229.0,-2922.336223639001,-17.546672583214644,4.72180770843431,4.72180770843431
230.0,-2938.8181871605157,-17.121635375328633,4.72180770843431,4.72180770843431
231.0,-2952.897020935824,-15.90693368568721,4.72180770843431,4.72180770843431
232.0,-2966.3096208803026,-14.911183121484985,4.72180770843431,4.72180770843431
233.0,-2978.9643130566837,-14.01038059671317,4.72180770843431,4.72180770843431
234.0,-2991.4344128903535,-13.395492775772523,4.72180770843431,4.72180770843431
235.0,-3003.5654768396003,-12.890726434121424,4.72180770843431,4.72180770843431
236.0,-3017.309670136661,-13.231434694712163,4.72180770843431,4.72180770843431
237.0,-3029.9186830650015,-12.98296079773615,4.72180770843431,4.72180770843431
